num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
141 ;    604.17;[KRL2001] 20                       ;X  ;03 46 51.97 +24 00 04.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
142 ;    604.76;[KRL2001] 29                       ;X  ;03 46 41.29 +24 04 26.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
143 ;    605.73;[SCG94] X 151                      ;?  ;03 46 47.2 +24 01 24                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
144 ;    606.11;[KRL2001] 28                       ;X  ;03 46 41.94 +24 03 51.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
145 ;    606.70;CXOP J034641.8+240351              ;X  ;03 46 41.88 +24 03 51.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
146 ;    606.73;HD 23584                           ;*  ;03 47 10.0537991349 +24 16 35.945010583;     ~   ;9.99     ;9.58     ;     ~   ;F6V            
147 ;    611.19;CXOP J034704.7+235748              ;X  ;03 47 04.80 +23 57 48.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
148 ;    611.23;Cl* Melotte 22 SHF 37              ;*  ;03 46 50.0203871544 +24 00 23.766767172;     ~   ;     ~   ;     ~   ;     ~   ;~              
149 ;    612.52;GAT 1067                           ;*  ;03 46 43.2 +24 02 49                   ;     ~   ;11.04    ;10.58    ;     ~   ;~              
150 ;    613.47;HD 23511                           ;PM*;03 46 39.3335012425 +24 06 11.531508492;     ~   ;9.75     ;9.28     ;     ~   ;F5V            
151 ;    613.53;CXOP J034644.1+240218              ;X  ;03 46 44.19 +24 02 18.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
152 ;    616.25;CXOP J034651.4+235953              ;X  ;03 46 51.49 +23 59 54.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
153 ;    616.30;[KRL2001] 23                       ;X  ;03 46 48.54 +24 00 40.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
154 ;    616.44;CXOP J034648.5+240039              ;X  ;03 46 48.59 +24 00 39.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
155 ;    622.51;V* V1229 Tau                       ;EB*;03 47 29.4536404848 +24 17 18.019635504;     ~   ;6.87     ;6.81     ;     ~   ;A0VpSi+Am      
156 ;    623.22;Cl Melotte 22 1129                 ;*  ;03 46 42.0 +24 03 00                   ;     ~   ;15.1     ;     ~   ;     ~   ;~              
157 ;    630.38;[AKS95] 36                         ;*  ;03 47 43.80 +24 16 29.2                ;     ~   ;15.645   ;13.847   ;     ~   ;~              
158 ;    633.49;IRAS 03447+2407                    ;FIR;03 47 41.7 +24 16 45                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
159 ;    634.74;[KRL2001] J034649.03+240003.47     ;X  ;03 46 49.03 +24 00 03.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
160 ;    637.79;CXOP J034644.5+240122              ;X  ;03 46 44.50 +24 01 22.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
161 ;    646.88;Cl* Melotte 22 BPL 112             ;*  ;03 46 52.9646088336 +24 15 07.966137492;     ~   ;     ~   ;21.46    ;     ~   ;~              
162 ;    648.58;CXOP J034643.6+240120              ;*  ;03 46 43.65 +24 01 20.5                ;     ~   ;19.7     ;     ~   ;     ~   ;~              
163 ;    648.64;[KRL2001] J034643.64+240120.57     ;X  ;03 46 43.64 +24 01 20.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
164 ;    650.32;Cl Melotte 22 1538                 ;*  ;03 47 43.1010540504 +24 16 55.494519744;     ~   ;12.55    ;     ~   ;     ~   ;F5             
165 ;    651.04;Cl Melotte 22 1658                 ;*  ;03 47 57.9606076968 +23 59 24.512634564;     ~   ;     ~   ;13.18    ;     ~   ;~              
166 ;    662.65;UGCS J034738.47+235627.6           ;*  ;03 47 38.470 +23 56 27.70              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
167 ;    663.06;CXOP J034635.7+240754              ;X  ;03 46 35.73 +24 07 54.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
168 ;    663.87;[KRL2001] 35                       ;X  ;03 46 35.66 +24 07 52.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
169 ;    665.81;[SCG94] X 200                      ;?  ;03 48 08.0 +24 11 44                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
170 ;    668.29;Cl* Melotte 22 ROQUE 10            ;LM*;03 48 02.0891753472 +24 00 02.350305864;     ~   ;     ~   ;     ~   ;     ~   ;~              
171 ;    668.42;Wolf 1285                          ;PM*;03 47 44.7529749264 +23 56 55.054336632;     ~   ;     ~   ;15.03    ;     ~   ;~              
172 ;    670.26;Cl Melotte 22 1733                 ;*  ;03 48 04.14 +24 00 36.6                ;     ~   ;16.5     ;     ~   ;     ~   ;~              
173 ;    673.08;CXOP J034634.8+240728              ;X  ;03 46 34.88 +24 07 28.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
174 ;    673.65;TXS 0345+238                       ;Rad;03 48 00.2 +23 59 24                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
175 ;    679.26;Cl* Melotte 22 BPL 162             ;Er*;03 47 56.6280268344 +24 15 31.931003196;     ~   ;     ~   ;     ~   ;     ~   ;~              
176 ;    685.92;Cl Melotte 22 1075                 ;PM*;03 46 34.2174975912 +24 08 17.755656972;     ~   ;12.38    ;     ~   ;     ~   ;~              
177 ;    686.57;V* V814 Tau                        ;BY*;03 46 39.3864483531 +24 01 46.867039992;     ~   ;13.04    ;12.13    ;     ~   ;K3V            
178 ;    695.70;UGCS J034748.90+241706.5           ;*  ;03 47 48.910 +24 17 06.50              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
179 ;    701.45;PLHX 24                            ;X  ;03 47 37.4 +23 55 43                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
